poziom,udzial_poz_min,udzial_poz_max,udzial_poz_rozstep,rozmiar_min,rozmiar_max,rozmiar_rozstep_wzgl,udzial_ery_min,udzial_ery_max,pacjenci_wspolni,wariant,n_splits,shuffle,seed
rekordowy,0.044030234094077934,0.04482203017430789,0.000791796080229959,13627,13654,0.0019792786628873033,0.9548083995283706,0.956253760111016,0,pozytywni,3,False,
rekordowy,0.04415108177484415,0.044771744705796146,0.000620662930951997,13635,13647,0.0008796794057276903,0.9550721829969288,0.9555704382108338,0,pozytywni,3,True,42.0
rekordowy,0.04436134330547001,0.044714851194839464,0.000353507889369456,13638,13644,0.00043983970286384517,0.954799951521817,0.9557234814791761,0,pozytywni,3,True,7.0
rekordowy,0.04416079812206573,0.04491500586166471,0.000754207739598986,13632,13648,0.0011729058743035871,0.954911514651537,0.9557174062646944,0,pozytywni,3,True,13.0
rekordowy,0.044358090769117973,0.044791437577890184,0.00043334680877221005,13639,13644,0.000366533085719871,0.9544756739752956,0.9561990158867594,0,pozytywni,3,True,101.0
rekordowy,0.04410361781756807,0.04477830707218761,0.0006746892546195468,13627,13652,0.0018326654285993548,0.9548080586204964,0.9560069443937584,0,pozytywni,3,True,2024.0
pacjentowy,0.04449820394399238,0.04457151235246683,7.33084084744498e-05,13641,13642,7.33066171439742e-05,0.9528084223668207,0.9585657850282878,0,pozytywni,3,False,
pacjentowy,0.04449820394399238,0.04457151235246683,7.33084084744498e-05,13641,13642,7.33066171439742e-05,0.954731265901423,0.9558167630556248,0,pozytywni,3,True,42.0
pacjentowy,0.04449820394399238,0.04457151235246683,7.33084084744498e-05,13641,13642,7.33066171439742e-05,0.9541836533701624,0.9562619045569332,0,pozytywni,3,True,7.0
pacjentowy,0.04449820394399238,0.04457151235246683,7.33084084744498e-05,13641,13642,7.33066171439742e-05,0.954940907962977,0.9556294786638246,0,pozytywni,3,True,13.0
pacjentowy,0.04449820394399238,0.04457151235246683,7.33084084744498e-05,13641,13642,7.33066171439742e-05,0.9549266934565648,0.9556727463868204,0,pozytywni,3,True,101.0
pacjentowy,0.04449820394399238,0.04457151235246683,7.33084084744498e-05,13641,13642,7.33066171439742e-05,0.9544389360067316,0.9562371983766145,0,pozytywni,3,True,2024.0
rekordowy,0.04404747338798483,0.04495480087955045,0.000907327491565621,8173,8191,0.002199198514319226,0.9537403051932236,0.9569375843592088,0,pozytywni,5,False,
rekordowy,0.043946627494185334,0.0450439453125,0.0010973178183146665,8169,8192,0.002810086990519011,0.9543539271890479,0.9570313397930225,0,pozytywni,5,True,42.0
rekordowy,0.04416442378272572,0.04481621687629747,0.0006517930935717522,8174,8193,0.002321376209559183,0.9538506721175637,0.957522615547941,0,pozytywni,5,True,7.0
rekordowy,0.04420564171449506,0.0449602932193036,0.0007546515048085442,8170,8191,0.002565731600039097,0.9538063882072988,0.9569336481172286,0,pozytywni,5,True,13.0
rekordowy,0.04425427872860636,0.0447998046875,0.0005455259588936431,8177,8192,0.0018326654285993548,0.9541132815575679,0.9562343230346132,0,pozytywni,5,True,101.0
rekordowy,0.044025926378867555,0.04487101112605453,0.0008450847471869749,8177,8191,0.0017104877333593978,0.9543202770746225,0.9562508285537578,0,pozytywni,5,True,2024.0
pacjentowy,0.04447159437996335,0.04459376908979841,0.00012217470983506146,8184,8185,0.000122177695239957,0.9525352998321843,0.9628098380114509,0,pozytywni,5,False,
pacjentowy,0.04447159437996335,0.04459376908979841,0.00012217470983506146,8184,8185,0.000122177695239957,0.9546067483164529,0.9560727774887643,0,pozytywni,5,True,42.0
pacjentowy,0.04447159437996335,0.04459376908979841,0.00012217470983506146,8184,8185,0.000122177695239957,0.9541937950616779,0.9564357250735716,0,pozytywni,5,True,7.0
pacjentowy,0.04447159437996335,0.04459376908979841,0.00012217470983506146,8184,8185,0.000122177695239957,0.9543562644399286,0.9559990224315805,0,pozytywni,5,True,13.0
pacjentowy,0.04447159437996335,0.04459376908979841,0.00012217470983506146,8184,8185,0.000122177695239957,0.9544605842565658,0.9559389433945457,0,pozytywni,5,True,101.0
pacjentowy,0.04447159437996335,0.04459376908979841,0.00012217470983506146,8184,8185,0.000122177695239957,0.9542678191713655,0.9564390780945662,0,pozytywni,5,True,2024.0
rekordowy,0.042657514096592304,0.04515499145716378,0.0024974773605714734,4079,4097,0.004398397028638452,0.9540704312366505,0.9559108370352131,0,pozytywni,10,False,
rekordowy,0.0440852314474651,0.044921875,0.0008366435525348978,4083,4098,0.0036653308571987096,0.9536078425184434,0.9567992189805558,0,pozytywni,10,True,42.0
rekordowy,0.04311611954924057,0.045177045177045176,0.002060925627804605,4082,4096,0.0034209754667187957,0.953629201706635,0.9575510721182867,0,pozytywni,10,True,7.0
rekordowy,0.043574051407588736,0.045177045177045176,0.00160299376945644,4085,4097,0.002932264685758968,0.9536989712747794,0.956856889127424,0,pozytywni,10,True,13.0
rekordowy,0.044384502206964195,0.04489995119570522,0.0005154489887410282,4078,4098,0.00488710780959828,0.9538181027734943,0.9569428254739172,0,pozytywni,10,True,101.0
rekordowy,0.043137254901960784,0.04518808011724475,0.0020508252152839634,4080,4097,0.004154041638158538,0.9524818217738573,0.9570122428763763,0,pozytywni,10,True,2024.0
pacjentowy,0.04446616173955534,0.044710481309552894,0.0002443195699975559,4092,4093,0.000244355390479914,0.9441482712193856,0.9700967043708979,0,pozytywni,10,False,
pacjentowy,0.04446616173955534,0.044710481309552894,0.0002443195699975559,4092,4093,0.000244355390479914,0.9535882078230431,0.958364479792936,0,pozytywni,10,True,42.0
pacjentowy,0.04446616173955534,0.044710481309552894,0.0002443195699975559,4092,4093,0.000244355390479914,0.9540068203823395,0.9578241445395999,0,pozytywni,10,True,7.0
pacjentowy,0.04446616173955534,0.044710481309552894,0.0002443195699975559,4092,4093,0.000244355390479914,0.954140191255388,0.9568888736267344,0,pozytywni,10,True,13.0
pacjentowy,0.04446616173955534,0.044710481309552894,0.0002443195699975559,4092,4093,0.000244355390479914,0.9540602568946971,0.9564733043733721,0,pozytywni,10,True,101.0
pacjentowy,0.04446616173955534,0.044710481309552894,0.0002443195699975559,4092,4093,0.000244355390479914,0.9539902373912944,0.9573658976679404,0,pozytywni,10,True,2024.0
rekordowy,0.04302496328928047,0.043098384728340676,7.342143906020893e-05,13620,13621,7.341964220161034e-05,0.9556930254871655,0.9558632498252353,0,bez_mieszanych,3,False,
rekordowy,0.04302496328928047,0.043098384728340676,7.342143906020893e-05,13620,13621,7.341964220161034e-05,0.9545968431147306,0.9566084558171978,0,bez_mieszanych,3,True,42.0
rekordowy,0.04302496328928047,0.043098384728340676,7.342143906020893e-05,13620,13621,7.341964220161034e-05,0.9550839784795837,0.9565735012887076,0,bez_mieszanych,3,True,7.0
rekordowy,0.04302180456647823,0.043168636663974747,0.00014683209749651732,13619,13621,0.00014683928440322068,0.9553844198231876,0.9564352471135908,0,bez_mieszanych,3,True,13.0
rekordowy,0.04302180456647823,0.043168636663974747,0.00014683209749651732,13619,13621,0.00014683928440322068,0.9551822889588423,0.9564786515998975,0,bez_mieszanych,3,True,101.0
rekordowy,0.04302180456647823,0.043168636663974747,0.00014683209749651732,13619,13621,0.00014683928440322068,0.9552574744312212,0.9560561246026095,0,bez_mieszanych,3,True,2024.0
pacjentowy,0.04302496328928047,0.043098384728340676,7.342143906020893e-05,13620,13621,7.341964220161034e-05,0.9534158280759683,0.9589148078630457,0,bez_mieszanych,3,False,
pacjentowy,0.04302496328928047,0.043098384728340676,7.342143906020893e-05,13620,13621,7.341964220161034e-05,0.9549660599952268,0.9562331584711755,0,bez_mieszanych,3,True,42.0
pacjentowy,0.04302496328928047,0.043098384728340676,7.342143906020893e-05,13620,13621,7.341964220161034e-05,0.9549895597344145,0.9562474912011375,0,bez_mieszanych,3,True,7.0
