Estymator,max_iter,RMSE,MAE,KL
ExtraTrees(n=100),10,0.0487,0.020326,1.110168
ExtraTrees(n=100),5,0.048951,0.020401,1.196694
ExtraTrees(n=50),5,0.049125,0.02065,1.093066
ExtraTrees(n=100),20,0.049204,0.020526,1.113455
ExtraTrees(n=100),50,0.04934,0.020545,1.100446
ExtraTrees(n=50),10,0.049429,0.020787,1.171572
ExtraTrees(n=100),30,0.049485,0.020692,1.122369
ExtraTrees(n=50),30,0.04971,0.020796,1.189236
ExtraTrees(n=50),20,0.049747,0.020931,1.125801
ExtraTrees(n=50),50,0.050017,0.020827,1.019247
ExtraTrees(n=10),5,0.051322,0.021958,1.046071
ExtraTrees(n=10),10,0.051341,0.022007,0.922706
ExtraTrees(n=10),20,0.051346,0.022117,0.95392
ExtraTrees(n=10),50,0.052173,0.022372,0.959177
ExtraTrees(n=10),30,0.0525,0.022318,0.94128
BayesianRidge,5,0.056262,0.02492,1.239539
BayesianRidge,50,0.056391,0.024409,1.071264
BayesianRidge,10,0.056426,0.024633,1.215007
BayesianRidge,30,0.056435,0.024458,1.102699
BayesianRidge,20,0.056476,0.024497,1.186924
